year,campus,campus_display,discipline,college_school_labels,applicants,admits,enrollees,admit_gpa,enrollee_gpa,admit_rate,yield_rate,selectivity_label
2025,UCR,UC Riverside,Life Sciences,College Of Humanities & Social Sci; College Of Natural & Agricultural Sci,15719,13023,1478,3.85 - 4.22,3.68 - 4.04,83.0,11.0,Broad Access
2025,UCR,UC Riverside,Other/Interdisciplinary,College Of Humanities & Social Sci,187,160,5,3.59 - 4.15,3.41 - 3.51,86.0,3.0,Broad Access
2025,UCR,UC Riverside,Physical Sciences/Math,College Of Natural & Agricultural Sci,3035,2687,217,3.69 - 4.20,3.45 - 3.88,89.0,8.0,Broad Access
2025,UCR,UC Riverside,Public Admin,College Of Humanities & Social Sci; School Of Public Policy,1639,1527,123,3.50 - 4.12,3.24 - 3.74,93.0,8.0,Broad Access
2025,UCR,UC Riverside,Social Sciences,College Of Humanities & Social Sci,14902,13379,1499,3.53 - 4.09,3.33 - 3.81,90.0,11.0,Broad Access
2025,UCR,UC Riverside,Undeclared,College Of Humanities & Social Sci; College Of Natural & Agricultural Sci; School Of Business Administration,3753,3231,430,3.44 - 4.00,3.28 - 3.69,86.0,13.0,Broad Access
2025,UCSB,UC Santa Barbara,Arts & Humanities,College Of Creative Studies; College Of Letters & Science,10271,3619,384,4.03 - 4.26,3.92 - 4.23,35.0,11.0,Selective
2025,UCSB,UC Santa Barbara,Business,College Of Letters & Science,383,162,27,4.11 - 4.29,4.00 - 4.26,42.0,17.0,Selective
2025,UCSB,UC Santa Barbara,Computer Science,College Of Creative Studies; College Of Engineering,5865,1989,182,4.19 - 4.29,4.14 - 4.29,34.0,9.0,Selective
2025,UCSB,UC Santa Barbara,Engineering,College Of Engineering,12679,2694,338,4.21 - 4.30,4.18 - 4.30,21.0,13.0,Highly Selective
2025,UCSB,UC Santa Barbara,Life Sciences,College Of Creative Studies; College Of Letters & Science,21225,8909,1065,4.11 - 4.29,4.04 - 4.28,42.0,12.0,Selective
2025,UCSB,UC Santa Barbara,Other/Interdisciplinary,College Of Creative Studies; College Of Letters & Science,5201,1553,257,4.04 - 4.27,4.00 - 4.25,30.0,17.0,Selective
2025,UCSB,UC Santa Barbara,Physical Sciences/Math,College Of Creative Studies; College Of Letters & Science,13760,7558,792,4.11 - 4.28,4.00 - 4.26,55.0,10.0,Moderately Accessible
2025,UCSB,UC Santa Barbara,Social Sciences,College Of Letters & Science,33738,12720,1705,4.07 - 4.28,4.00 - 4.26,38.0,13.0,Selective
2025,UCSB,UC Santa Barbara,Undeclared,College Of Letters & Science,7051,2890,331,4.00 - 4.26,3.97 - 4.25,41.0,11.0,Selective
2025,UCSC,UC Santa Cruz,Arts & Humanities,Not applicable,5945,4022,281,3.80 - 4.17,3.65 - 4.04,68.0,7.0,Moderately Accessible
2025,UCSC,UC Santa Cruz,Business,Not applicable,6725,4465,318,3.79 - 4.15,3.70 - 4.00,66.0,7.0,Moderately Accessible
2025,UCSC,UC Santa Cruz,Computer Science,Not applicable,5952,4725,566,3.92 - 4.25,3.79 - 4.10,79.0,12.0,Broad Access
2025,UCSC,UC Santa Cruz,Education,Not applicable,536,348,25,3.76 - 4.16,3.63 - 4.00,65.0,7.0,Moderately Accessible
2025,UCSC,UC Santa Cruz,Engineering,Not applicable,5134,3961,495,3.85 - 4.22,3.72 - 4.04,77.0,12.0,Broad Access
2025,UCSC,UC Santa Cruz,Life Sciences,Not applicable,14258,10997,1156,3.86 - 4.22,3.72 - 4.04,77.0,11.0,Broad Access
2025,UCSC,UC Santa Cruz,Other/Interdisciplinary,Not applicable,3822,2939,705,3.81 - 4.17,3.72 - 4.06,77.0,24.0,Broad Access
2025,UCSC,UC Santa Cruz,Physical Sciences/Math,Not applicable,3148,2506,211,3.88 - 4.25,3.70 - 4.10,80.0,8.0,Broad Access
2025,UCSC,UC Santa Cruz,Public Admin,Not applicable,192,124,6,3.83 - 4.16,4.00 - 4.11,65.0,5.0,Moderately Accessible
2025,UCSC,UC Santa Cruz,Social Sciences,Not applicable,10831,7308,275,3.81 - 4.18,3.68 - 4.03,67.0,4.0,Moderately Accessible
2025,UCSC,UC Santa Cruz,Undeclared,Not applicable,9848,6727,559,3.82 - 4.20,3.73 - 4.04,68.0,8.0,Moderately Accessible
2025,UCSD,UC San Diego,Architecture,Not applicable,495,153,33,4.00 - 4.25,3.93 - 4.26,31.0,22.0,Selective
2025,UCSD,UC San Diego,Arts & Humanities,Not applicable,7812,2699,392,4.06 - 4.26,4.00 - 4.24,35.0,15.0,Selective
